scientific_name,common_name,where_listed,region,ESA_listing_status,group_name,state
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,IL
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,IL
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,IL
Scaphirhynchus albus,Pallid sturgeon,Wherever found,6,Endangered,Fishes,IL
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,IL
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,IL
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Wherever found,4,Endangered,Clams,IL
Potamilus capax,Fat pocketbook,Wherever found,4,Endangered,Clams,IL
Leptodea leptodon,Scaleshell mussel,Wherever found,3,Endangered,Clams,IL
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,IL
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,IL
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,IL
Discus macclintocki,Iowa Pleistocene snail,Wherever found,3,Endangered,Snails,IL
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,IL
Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects,IL
Gammarus acherondytes,Illinois cave amphipod,Wherever found,3,Endangered,Crustaceans,IL
Asclepias meadii,Mead's milkweed,Wherever found,3,Threatened,Flowering Plants,IL
Boltonia decurrens,Decurrent false aster,Wherever found,3,Threatened,Flowering Plants,IL
Cirsium pitcheri,Pitcher's thistle,Wherever found,3,Threatened,Flowering Plants,IL
Dalea foliosa,Leafy prairie-clover,,3,Endangered,Flowering Plants,IL
Lespedeza leptostachya,Prairie bush-clover,Wherever found,3,Threatened,Flowering Plants,IL
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,IL
Hymenoxys herbacea,Lakeside daisy,Wherever found,3,Threatened,Flowering Plants,IL
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,IL
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,IL
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,IL
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,IL
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,IL
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,IL
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,IL
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,IL
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,IL
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,IL
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,IN
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,IN
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,IN
Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles,IN
Epioblasma perobliqua,White catspaw (pearlymussel),Wherever found,3,Endangered,Clams,IN
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,IN
Pleurobema plenum,Rough pigtoe,Wherever found,4,Endangered,Clams,IN
Potamilus capax,Fat pocketbook,Wherever found,4,Endangered,Clams,IN
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,IN
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,IN
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,IN
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,IN
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects,IN
Asclepias meadii,Mead's milkweed,Wherever found,3,Threatened,Flowering Plants,IN
Solidago shortii,Short's goldenrod,Wherever found,4,Endangered,Flowering Plants,IN
Cirsium pitcheri,Pitcher's thistle,Wherever found,3,Threatened,Flowering Plants,IN
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,IN
Helenium virginicum,Virginia sneezeweed,Wherever found,5,Threatened,Flowering Plants,IN
Physaria globosa,Short's bladderpod,Wherever found,4,Endangered,Flowering Plants,IN
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,IN
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,IN
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,IN
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,IN
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,IN
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,IN
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,IN
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,IN
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,IN
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,IN
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,IN
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds,IN
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,MI
Canis lupus,Gray wolf,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",6,Endangered,Mammals,MI
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,MI
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,MI
Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles,MI
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,MI
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,MI
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,MI
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects,MI
Brychius hungerfordi,Hungerford's crawling water Beetle,Wherever found,3,Endangered,Insects,MI
Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects,MI
Cirsium pitcheri,Pitcher's thistle,Wherever found,3,Threatened,Flowering Plants,MI
Iris lacustris,Dwarf lake iris,Wherever found,3,Threatened,Flowering Plants,MI
Mimulus michiganensis,Michigan monkey-flower,Wherever found,3,Endangered,Flowering Plants,MI
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,MI
Solidago houghtonii,Houghton's goldenrod,Wherever found,3,Threatened,Flowering Plants,MI
Hymenoxys herbacea,Lakeside daisy,Wherever found,3,Threatened,Flowering Plants,MI
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,MI
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,MI
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,MI
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,MI
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,MI
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,MI
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,MI
Oarisma poweshiek,Poweshiek skipperling,Wherever found,3,Endangered,Insects,MI
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,MI
Canis lupus,Gray wolf,MN,3,Threatened,Mammals,MN
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,MN
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,MN
Notropis topeka (=tristis),Topeka shiner,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,MN
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,MN
Quadrula fragosa,Winged Mapleleaf,"Wherever found, except where listed as an experimental population",3,Endangered,Clams,MN
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,MN
Erythronium propullans,Minnesota dwarf trout lily,Wherever found,3,Endangered,Flowering Plants,MN
Lespedeza leptostachya,Prairie bush-clover,Wherever found,3,Threatened,Flowering Plants,MN
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,MN
Platanthera praeclara,Western prairie fringed Orchid,Wherever found,3,Threatened,Flowering Plants,MN
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,MN
Hesperia dacotae,Dakota Skipper,Wherever found,3,Threatened,Insects,MN
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,MN
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,MN
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,MN
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,MN
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,MN
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,MN
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,MN
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,MN
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,NY
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,NY
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,NY
Sterna dougallii dougallii,Roseate tern,Northeast U.S. nesting population,5,Endangered,Birds,NY
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,NY
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,NY
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,NY
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,NY
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,NY
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,NY
Novisuccinea chittenangoensis,Chittenango ovate amber snail,Wherever found,5,Threatened,Snails,NY
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,NY
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,NY
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,NY
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,NY
Agalinis acuta,Sandplain gerardia,Wherever found,5,Endangered,Flowering Plants,NY
Solidago houghtonii,Houghton's goldenrod,Wherever found,3,Threatened,Flowering Plants,NY
Amaranthus pumilus,Seabeach amaranth,Wherever found,4,Threatened,Flowering Plants,NY
Rhodiola integrifolia ssp. leedyi,Leedy's roseroot,Wherever found,3,Threatened,Flowering Plants,NY
Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,5,Threatened,Ferns and Allies,NY
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,NY
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,NY
Hemileuca maia menyanthevora (=H. iroquois),bog buck moth,Wherever found,5,Endangered,Insects,NY
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,NY
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,NY
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,NY
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,NY
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,OH
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,OH
Nerodia erythrogaster neglecta,Copperbelly water snake,"Indiana north of 40 degrees north latitude, Michigan, Ohio",3,Threatened,Reptiles,OH
Epioblasma obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Wherever found; Except where listed as Experimental Populations,3,Endangered,Clams,OH
Epioblasma perobliqua,White catspaw (pearlymussel),Wherever found,3,Endangered,Clams,OH
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,OH
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,OH
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,OH
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,OH
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,OH
Neonympha mitchellii mitchellii,Mitchell's satyr Butterfly,Wherever found,3,Endangered,Insects,OH
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects,OH
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,OH
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,OH
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,OH
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,OH
Hymenoxys herbacea,Lakeside daisy,Wherever found,3,Threatened,Flowering Plants,OH
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,OH
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,OH
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,OH
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,OH
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,OH
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,OH
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,OH
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,OH
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,OH
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,OH
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,OH
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,PA
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,PA
Glyptemys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",5,Threatened,Reptiles,PA
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,PA
Alasmidonta heterodon,Dwarf wedgemussel,Wherever found,5,Endangered,Clams,PA
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,PA
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,PA
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,PA
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,PA
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,PA
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,PA
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,PA
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,PA
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,PA
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,PA
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,PA
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,PA
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,PA
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,PA
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,PA
Canis lupus,Gray wolf,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",6,Endangered,Mammals,WI
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,WI
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,WI
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,WI
Quadrula fragosa,Winged Mapleleaf,"Wherever found, except where listed as an experimental population",3,Endangered,Clams,WI
Discus macclintocki,Iowa Pleistocene snail,Wherever found,3,Endangered,Snails,WI
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,WI
Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects,WI
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,WI
Asclepias meadii,Mead's milkweed,Wherever found,3,Threatened,Flowering Plants,WI
Cirsium pitcheri,Pitcher's thistle,Wherever found,3,Threatened,Flowering Plants,WI
Iris lacustris,Dwarf lake iris,Wherever found,3,Threatened,Flowering Plants,WI
Lespedeza leptostachya,Prairie bush-clover,Wherever found,3,Threatened,Flowering Plants,WI
Oxytropis campestris var. chartacea,Fassett's locoweed,Wherever found,3,Threatened,Flowering Plants,WI
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,WI
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,WI
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,WI
Hemileuca maia menyanthevora (=H. iroquois),bog buck moth,Wherever found,5,Endangered,Insects,WI
Grus americana,Whooping crane,"U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)",2,"Experimental Population, Non-Essential",Birds,WI
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,WI
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,WI
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,WI
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,WI
Oarisma poweshiek,Poweshiek skipperling,Wherever found,3,Endangered,Insects,WI
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,WI
