"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Epioblasma perobliqua","White catspaw (pearlymussel)","Wherever found","3","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Asclepias meadii","Mead's milkweed","Wherever found","3","Threatened","Flowering Plants"
"Solidago shortii","Short's goldenrod","Wherever found","4","Endangered","Flowering Plants"
"Cirsium pitcheri","Pitcher's thistle","Wherever found","3","Threatened","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Helenium virginicum","Virginia sneezeweed","Wherever found","5","Threatened","Flowering Plants"
"Physaria globosa","Short's bladderpod","Wherever found","4","Endangered","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
"Obovaria subrotunda","Round hickorynut","Wherever found","3","Threatened","Clams"
"Fusconaia subrotunda","Longsolid","Wherever found","4","Threatened","Clams"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"